Freq(Hz)           Exp.Intens.   Theor.Intens.        Diff.
2026.824968           12419           37874          -25455
2026.802098         1033806           38170          995636
2026.779228         -213171           38470         -251641
2026.756358         -143631           38773         -182404
2026.733488         -105335           39081         -144416
2026.710618         -147018           39393         -186411
2026.687748          179514           39710          139804
2026.664877          202914           40031          162883
2026.642007         -167748           40356         -208104
2026.619137          170275           40686          129589
2026.596267          226979           41021          185958
2026.573397         -760574           41360         -801934
2026.550527          295682           41704          253978
2026.527657           35669           42054           -6385
2026.504787          -48492           42408          -90900
2026.481917         -289515           42768         -332283
2026.459047          -33874           43133          -77007
2026.436177          302020           43503          258517
2026.413307         -163045           43879         -206924
2026.390437          110433           44261           66172
2026.367567          -30238           44648          -74886
2026.344697          186612           45042          141570
2026.321827          539533           45441          494092
2026.298956          303042           45847          257195
2026.276086          472936           46259          426677
2026.253216           87555           46677           40878
2026.230346         -143216           47102         -190318
2026.207476          -67371           47534         -114905
2026.184606          208988           47973          161015
2026.161736          222193           48418          173775
2026.138866          474903           48871          426032
2026.115996          639106           49332          589774
2026.093126          642233           49800          592433
2026.070256          -47656           50276          -97932
2026.047386         -307828           50760         -358588
2026.024516         -116956           51252         -168208
2026.001646          417016           51753          365263
2025.978776          165755           52262          113493
2025.955906           56518           52779            3739
2025.933035          -16122           53306          -69428
2025.910165          238664           53843          184821
2025.887295           31244           54388          -23144
2025.864425          401830           54944          346886
2025.841555         -263196           55509         -318705
2025.818685           -3598           56085          -59683
2025.795815          277169           56671          220498
2025.772945          289511           57268          232243
2025.750075          288380           57876          230504
2025.727205          347352           58496          288856
2025.704335          403092           59127          343965
2025.681465          151860           59770           92090
2025.658595           -9080           60426          -69506
2025.635725          463482           61094          402388
2025.612855          725843           61776          664067
2025.589985          413729           62471          351258
2025.567114          396697           63180          333517
2025.544244          281106           63903          217203
2025.521374           45563           64641          -19078
2025.498504          295717           65394          230323
2025.475634          397248           66162          331086
2025.452764          127085           66947           60138
2025.429894          185369           67748          117621
2025.407024         -241363           68567         -309930
2025.384154          305173           69403          235770
2025.361284           -3345           70257          -73602
2025.338414          424988           71130          353858
2025.315544         -130991           72023         -203014
2025.292674          189252           72935          116317
2025.269804         -243908           73868         -317776
2025.246934         -110307           74823         -185130
2025.224064          199692           75799          123893
2025.201193          513318           76799          436519
2025.178323          376198           77822          298376
2025.155453         -132156           78870         -211026
2025.132583           57060           79943          -22883
2025.109713          559852           81042          478810
2025.086843          418188           82169          336019
2025.063973          909040           83324          825716
2025.041103          413383           84508          328875
2025.018233          922517           85723          836794
2024.995363          279827           86970          192857
2024.972493          553800           88249          465551
2024.949623          585402           89563          495839
2024.926753         1110971           90912         1020059
2024.903883          382736           92298          290438
2024.881013          374451           93722          280729
2024.858143          715710           95187          620523
2024.835272          949937           96693          853244
2024.812402          507903           98244          409659
2024.789532          369339           99839          269500
2024.766662          457468          101483          355985
2024.743792          293440          103176          190264
2024.720922          336185          104921          231264
2024.698052          353179          106721          246458
2024.675182          404334          108578          295756
2024.652312          396790          110494          286296
2024.629442            -952          112474         -113426
2024.606572          958686          114519          844167
2024.583702          496745          116634          380111
2024.560832         -261003          118822         -379825
2024.537962           54854          121086          -66232
2024.515092          879357          123432          755925
2024.492222          713694          125864          587830
2024.469351          513359          128386          384973
2024.446481          680539          131003          549536
2024.423611          559367          133722          425645
2024.400741         1187673          136549         1051124
2024.377871          903855          139490          764365
2024.355001          361812          142553          219259
2024.332131          297263          145745          151518
2024.309261          104653          149076          -44423
2024.286391          877542          152555          724987
2024.263521          730787          156193          574594
2024.240651         1184765          160000         1024765
2024.217781          273606          163991          109615
2024.194911         -145063          168180         -313243
2024.172041          514332          172583          341749
2024.149171           98923          177217          -78294
2024.126301          150428          182103          -31675
2024.103430          471527          187265          284262
2024.080560          555022          192727          362295
2024.057690           71462          198519         -127057
2024.034820          414165          204677          209488
2024.011950         -326495          211238         -537733
2023.989080          188182          218249          -30067
2023.966210          756580          225765          530815
2023.943340          481424          233848          247576
2023.920470          735407          242575          492832
2023.897600          206794          252037          -45243
2023.874730          -64010          262347         -326357
2023.851860          306842          273643           33199
2023.828990          196621          286098          -89477
2023.806120         -256373          299932         -556305
2023.783250          270496          315433          -44937
2023.760380          833981          332975          501006
2023.737509          282212          353070          -70858
2023.714639          429178          376425           52753
2023.691769          -98429          404050         -502479
2023.668899          -70686          437441         -508127
2023.646029         -337625          478907         -816532
2023.623159          591502          532192           59310
2023.600289          983748          603750          379998
2023.577419          958463          705572          252891
2023.554549          400097          862168         -462071
2023.531679          143845         1130071         -986226
2023.508809         1658809         1659904           -1095
2023.485939         3294452         2884229          410223
2023.463069         5231508         5126222          105286
2023.440199         6101347         5580055          521292
2023.417329         5471480         5488337          -16857
2023.394459         3214136         3480055         -265919
2023.371589         1827002         2425638         -598636
2023.348718         2265739         2351021          -85282
2023.325848         4156284         3128087         1028197
2023.302978         6152048         5159487          992561
2023.280108         6447643         6038525          409118
2023.257238         5147664         6083564         -935900
2023.234368         3828950         4264688         -435738
2023.211498         2700894         2906098         -205204
2023.188628         2551924         2611437          -59513
2023.165758         3246817         2982617          264200
2023.142888         5548363         4292683         1255680
2023.120018         8557535         7319818         1237717
2023.097148         8030760         8553915         -523155
2023.074278         9575932         8781408          794524
2023.051408         7711038         8245619         -534581
2023.028538         3953456         5876349        -1922893
2023.005668         3889929         5646265        -1756336
2022.982797         6705962         7435587         -729625
2022.959927        12909532        12771215          138317
2022.937057        20598349        23204522        -2606173
2022.914187        26383910        24596828         1787082
2022.891317        23727548        20314457         3413091
2022.868447        14014914        13558372          456542
2022.845577         7066105         9744135        -2678030
2022.822707         6689378        10487588        -3798210
2022.799837        11925308        15564609        -3639301
2022.776967        20340133        19098120         1242013
2022.754097        20838156        15972180         4865976
2022.731227        14227559        13864486          363073
2022.708357        12432765        13348443         -915678
2022.685487        17064483        16837546          226937
2022.662617        25964790        27217061        -1252271
2022.639747        32540974        31720353          820621
2022.616876        32107430        30391750         1715680
2022.594006        27276178        26169810         1106368
2022.571136        30796467        32424975        -1628508
2022.548266        40624006        42228615        -1604609
2022.525396        52384774        48376638         4008136
2022.502526        54031833        48082024         5949809
2022.479656        41282596        41458700         -176104
2022.456786        34438536        35307093         -868557
